Typ,Tema,Deltagare,Arrangor
,Memoarer och biografier,"Charlotta Aquilonius, Johanna Ekström",Albert Bonniers förlag
,Barn och ungdom / Skola,"Christina Rudberg, Elisabeth Hilmersson, Nardin Crisbi","Ellös skola, Kulturrådet"
Scenprogram,Barn och ungdom,"Anna Bergholtz, Anna-Klara Mehlich, Mikael Sjömilla",Författarcentrum och Sveriges Författarförbund
,Barn och ungdom / Deckare,Bibbi Wopenka,I samarbete med Svenska Deckarakademin
Monterprogram,Barn och ungdom,,Rabén & Sjögren
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Bitte Hammargren, Eugene Schoulgin",Utrikespolitiska institutet
,,Linnéa Stenliden,Forskartorget/Linköpings universitet
Monterprogram,,,Albert Bonniers Förlag
Monterprogram,,,Forum
,Memoarer och biografier,"Agneta Rahikainen, Karolina Ramqvist, Mari Koli",Schildts & Söderströms och Svenska litteratursällskapet i Finland
Monterprogram,Barn och ungdom,"Alexander Jansson, Henrik Jonsson, Johan Unenge, Johanna Kristiansson, Stina Wirsén",Bonnier Carlsen
Scenprogram,Historia,Lena Gynnemo,Selma Lagerlöf-sällskapet
Monterprogram,,"Emma Sköldberg, Kristian Blensenius",Institutionen för svenska språket
,Barn och ungdom / Skola / Yttrandefrihet,"Disa Demirbag-Sten, Emelie Risberg Hellström",I samarbete med Berättarministeriet
,Samhälle och debatt,"Hynek Pallas, Johan Hilton",Bokförlaget Atlas
,,"David Jonstad, Helena Granström",Natur & Kultur
,Samhälle och debatt,,Linköpings universitet
,Skola,"Liselott Drejstam, Sara Bernhardsson",Lärarnas Riksförbund forum för svenska
Monterprogram,Samhälle och debatt,,Göteborgs universitet
,Bibliotek,Per Ahlin,Axiell
Monterprogram,Serier,,Kartago
,Barn och ungdom / Samhälle och debatt,"Gunilla Bergström, Martin Forster",Rabén & Sjögren
,Skola,Sara Lövestam,Natur & Kultur
,Barn och ungdom,"Jonathan Stroud, Lotta Olsson, Mats Strandberg",B. Wahlströms och Rabén & Sjögren
Scenprogram,Livsåskådning / Samhälle och debatt,"Gunilla Hallonsten, Martín Caparrós","Se människan, Natur och Kultur"
,Samhälle och debatt,"Bogdan Ghiu, Jonas Ellerström, Magda Cârneci, Svetlana Cârstean",Rumänska kulturinstitutet
,Skola / Yttrandefrihet,"Brit Stakston, Dilsa Demirbag-Sten, Helena Dal, Olle Wästberg, Peter Becker",Stiftelsen DIU i samarbete med Statens medieråd och Svensk biblioteksförening
Monterprogram,Memoarer och biografier,,"Länsbiblioteket, Region Västerbotten"
,Samhälle och debatt,"Ghayath Almadhoun, Harald Hultqvist, Igiaba Scego, Maarja Kangro, Tomas S. Butkus",EUNIC
Monterprogram,Barn och ungdom,Pija Lindenbaum,Rabén & Sjögren
,Hälsa och livsstil / Samhälle och debatt,Peter C. Gøtzsche,Karneval Förlag
Monterprogram,Barn och ungdom / Bibliotek / Samhälle och debatt / Skola / Yttrandefrihet,,8 Sidor - lättlästa nyheter
Monterprogram,Barn och ungdom / Fantasy och science fiction,"Anna Öqvist Ragnar, Johan Egerkrans",Storytel
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Adarija Gusjtyn, Ilja Jasjin",Östgruppen
,Barn och ungdom / Bibliotek,"Anna Hällgren, Nina Suatan",Kulturrådet
,Livsåskådning / Yttrandefrihet,"Björn Ranelid, Daniel Sjölin, Lina Axelsson Kihlblom",Albert Bonniers förlag och Gothia fortbildning
Scenprogram,Deckare,Dag Öhrlund,Författarcentrum och Sveriges Författarförbund
,Bibliotek,"Elvis Stan, Kaisa Syrjänen Schaal, Tomas Woodski, Tuija Nieminen Kristofersson","Biblioteksrådet, Sveriges Författarförbund"
,Livsåskådning,"Erika Hedenström, Göran Greider, Kristian Lundberg, Maria Küchen","Libris förlag, Natur & Kultur, Studieförbundet Bilda och Svenska kyrkan/Se människan"
Monterprogram,Hälsa och livsstil,Lars H Gustafsson,Norstedts
,Skola,,Sanoma Utbildning
,,Klas-Göran Karlsson,Forskartorget/Lunds universitet
Monterprogram,,,Albert Bonniers Förlag
,Barn och ungdom / Samhälle och debatt / Skola,"Anna Kaya, Niklas Gårdfeldt Leavy",Natur & Kultur
Monterprogram,Barn och ungdom,,Rabén & Sjögren
Monterprogram,,,Bonnierförlagen
Monterprogram,Barn och ungdom,Beppe Singer,Bonnier Carlsen
Scenprogram,Historia,Birgit Carlstén,Alf Henrikson-sällskapet
Monterprogram,,Sven-Göran Malmgren,Institutionen för svenska språket
Scenprogram,Hälsa och livsstil,"Anna Bennich Karlstedt, Annika Lantz, Åsa Selling",Wahlström & Widstrand
Monterprogram,Historia / Samhälle och debatt,,Göteborgs universitet
,Barn och ungdom / Skola,"Erik Titusson, Eva Susso, Jenny Jägerfeld, Moa Eriksson Sandberg",Rabén & Sjögren och Lilla Piratförlaget
,Bibliotek,,Axiell
Monterprogram,Serier,,Kartago
Monterprogram,Barn och ungdom,Tatjana Brandt,Förlaget
,Samhälle och debatt / Yttrandefrihet,"Daniel Sandström, Niklas Orrenius",Albert Bonniers förlag
Scenprogram,Livsåskådning / Samhälle och debatt,"Elisabet Pettersson, Steve Sem-Sandberg","Se människan, Albert Bonniers Förlag"
,Skola,Linda Linder,Lärarförbundet i samarbete med Lärarförlaget
Monterprogram,Barn och ungdom / Bibliotek / Samhälle och debatt / Skola / Yttrandefrihet,,MTM
,Deckare,"Ann-Marie Skarp, Carolina Neurath",Piratförlaget
,Barn och ungdom,"Annika Thor, Christina Wahldén, Henry Ascher","Opsis Barnkultur, Kulturrådet"
Scenprogram,,Anneli Jordahl,Författarcentrum och Sveriges Författarförbund
Monterprogram,,Hans Gunnarsson,Albert Bonniers Förlag
,Barn och ungdom / Bibliotek / Skola,"Ann Boglind, Anna Nordstam",I samarbete med Gleerups förlag
"Monterprogram, Scenprogram",Samhälle och debatt,"Jenni Reuter, Joakim Forsemalm",Forskartorget/Hanaholmen ? kulturcentrum för Sverige och Finland
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Isaac Bachman, Jörgen Knudtzon",Samfundet Sverige-Israel
Monterprogram,Hälsa och livsstil / Samhälle och debatt / Skola,Sara Degerfält,Slöjd i Väst
,,"Alex Schulman, Delphine de Vigan, Sinziana Ravini",Sekwa förlag och Bookmark förlag
,Livsåskådning,"Hannele Mikaela Taivassalo, Jenny Högström, Kristine Næss, Therese Bohman","Norstedts, Förlaget och Lindelöws"
Monterprogram,,,Semic
Monterprogram,Deckare,Tove Alsterdal,Norrbottens länsbibliotek
Monterprogram,Hälsa och livsstil,,Bonnier Fakta
Monterprogram,Barn och ungdom,,Bonnier Carlsen
,Yttrandefrihet,"Agneta Börjesson, Björn von Sydow, Fredrik Eriksson, Helena Giertta, Maria Abrahamsson, Nooshi Dadgostar, Per-Ingvar Johnsson",Sveriges riksdag
Scenprogram,,"Katarina Ek-Nilsson, Kristina Adolphson",Strindbergsällskapet
,Hälsa och livsstil,,MI Migrän info /MIAB förlag
,,Erik Titusson,I samarbete med Lilla Piratförlaget
,,"Mattias Berg, Stephen Farran-Lee",Natur & Kultur
Monterprogram,Barn och ungdom / Fantasy och science fiction,Johan Egerkrans,Eksjö Bokhandel
Monterprogram,Deckare / Fantasy och science fiction,,Zakuli Förlag
,Samhälle och debatt,,Linköpings universitet
,Barn och ungdom,Monica Zak,Bokförlaget Opal
,Skola,"Jonathan Leman, Sten Hagberg",Lärarnas Riksförbund forum Humsam
,Skola,"Björn Linnell, Jenny Milewski, Rebecka Bohlin, Sofia Berne",Natur & Kultur och Ordfront förlag
Monterprogram,Hälsa och livsstil,,Lunds universitet
Monterprogram,Serier,,Kartago
,Samhälle och debatt,Johan Blomgren,Lo Söllgårds förlag
,Yttrandefrihet,"Cecilia Uddén, Houria Abdelouahed,  Adonis",Volante
,Deckare,"Jan Mårtenson, Sara Nyström",Wahlström & Widstrand
,Hälsa och livsstil,"Anna Kåver, Maria Carling",Natur & Kultur
Scenprogram,Livsåskådning / Samhälle och debatt / Yttrandefrihet,"Daria Bogdanska, Kent Wisti","Se människan, Galago"
Monterprogram,,,Norstedts
,Populärvetenskap,"Gaston Dorren, Patrik Hadenius",Alfabeta Bokförlag
Monterprogram,Yttrandefrihet,,Vi Media AB
Monterprogram,Barn och ungdom / Bibliotek / Historia / Samhälle och debatt / Skola / Yttrandefrihet,,MTM och LL-förlaget
,Samhälle och debatt,"Henrik Meinander, Jarmo Lainio, Lotta Hoppu, Maria Wetterstrand","Svenska Finlands folkting, det finska förvaltningsområdet i Göteborgs stad och Hanaholmen – kulturcentrum för Sverige och Finland"
,Historia,Anna Larsdotter,Historiska Media
Monterprogram,Deckare,"Anna Öqvist Ragnar, Malin Persson Giolito",Storytel
,Barn och ungdom,"Henriette Zorn, Meg Rosoff","ALMA, Kulturrådet"
Monterprogram,Barn och ungdom / Bibliotek / Fantasy och science fiction / Historia / Skola,,Roslagstext
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Abbas Khider, Alexandra Pascalidou",Bokförlaget Thorén & Lindskog och Goethe-Institut Schweden
,,"David Wiberg, Sandra Beijer, Sara Ohlsson, Tara Moshizi",Gilla Böcker och Natur & Kultur
Scenprogram,Yttrandefrihet,"Anders Sundelin, Niklas Orrenius, Ulrika Knutson",Författarcentrum och Sveriges Författarförbund
"Monterprogram, Scenprogram",Hälsa och livsstil / Samhälle och debatt,Lisbeth Rydén,Forskartorget/AFA Försäkring
Monterprogram,,,Norstedts
,Barn och ungdom,"Erik Titusson, Patrik Bergström",I samarbete med Lilla Piratförlaget
,Barn och ungdom,"Erik Titusson, Kristina Ohlsson",I samarbete med Lilla Piratförlaget
Monterprogram,,,Norstedts
Scenprogram,Hälsa och livsstil / Samhälle och debatt,"Aleksander Gabelic, Kerstin Lundgren, Linda Nordin, Martin Lundstedt, Ulrika Modéer",FN-förbundet
Monterprogram,Memoarer och biografier,,Forum
Monterprogram,Barn och ungdom / Memoarer och biografier,"Josefine Sundström, Maria Nilsson Thore, Stina Wirsén",Bonnier Carlsen
Scenprogram,,Nils O. Sjöstrand,Söderbergsällskapet
,Historia,"Alfred Sjödin, Horace Engdahl",Svenska Akademien
,Barn och ungdom,"Erik Titusson, Sara Lövestam",I samarbete med Lilla Piratförlaget
"Monterprogram, Scenprogram",Hälsa och livsstil / Livsåskådning,Anna Falk,Forskartorget/Stiftelsen för strategisk forskning
,Barn och ungdom,"Eva Dahlin, Johan Unenge, Måns Gahrton",Bonnier Carlsen
Monterprogram,Serier,,Kartago
,Hälsa och livsstil,"Jonas Mattsson, Lars Nyberg",Natur & Kultur
Monterprogram,,"Birgitta Boucht, Janina Orlov, Peter Sandström, Zinaida Lindén",Schildts & Söderströms
Scenprogram,Hälsa och livsstil / Livsåskådning / Samhälle och debatt,"Dan-Erik Sahlberg, Lena Andersson","Se människan, Natur och Kultur"
,Historia,"Daniel Sandström, Nina Burton",Albert Bonniers förlag
,Skola,"Lisa Gunnarsson, Marlen Ablahad Eskander, Stefan Löfgren",En bok för alla
Monterprogram,Deckare,"Anna Öqvist Ragnar, Helene Tursten",Storytel
,Barn och ungdom,"Jenny Jägerfeld, Johanna Thydell, Jonas Andersson","Alfabeta, Rabén & Sjögren, Kulturrådet"
Scenprogram,,"David Jonstad, Katarina Bjärvall",Författarcentrum och Sveriges Författarförbund
Monterprogram,,,Forum
,Barn och ungdom / Skola,"Daniel Barker, Per Kornhall",Natur & Kultur
Monterprogram,,,Norstedts
Scenprogram,Samhälle och debatt,"Gudrun Schyman, Ingela Mårtensson",Kvinnor för fred
,Barn och ungdom,"Erik Titusson, Pija Lindenbaum",I samarbete med Lilla Piratförlaget
Monterprogram,Bibliotek / Hälsa och livsstil / Skola,Ulla Engquist,Hemslöjdens förlag
,Samhälle och debatt,Anders Lindberg,eddy.se i samarbete med Institutet för mediestudier
Monterprogram,,,Albert Bonniers Förlag
,,"Eric Schüldt, Lennart Hagerfors",Weyler förlag
Monterprogram,Hälsa och livsstil,,Semic
Monterprogram,Barn och ungdom,"Alexander Jansson, Johanna Kristiansson, Petrus Dahlin",Bonnier Carlsen
,Samhälle och debatt,"Ann Ighe, Joris Luyendijk, Martín Caparrós",Natur & Kultur
Scenprogram,,Göran Greider,Sällskapet Per Anders Fogelströms vänner
Monterprogram,,Linnéa Bäckström,Institutionen för svenska språket
,Barn och ungdom / Skola,"Helena Bross, Magnus Ljunggren",Bonnier Carlsen
,,Ada Wester,I samarbete med Gilla Böcker
,Barn och ungdom,Ada Wester,I samarbete med Gilla Böcker
Monterprogram,,,Eksjö Bokhandel
,Samhälle och debatt,,Linköpings universitet
,Barn och ungdom / Deckare,"Johanna Koljonen, Kristina Ohlsson, Madeleine Bäck",Natur & Kultur och Lilla Piratförlaget
,Skola,"Björn Ranelid, Åsa Fahlén",Lärarnas Riksförbund i samarbete med Björn Ranelid
Monterprogram,Historia,Carin Myrberg,Carin Myrberg Agency
Monterprogram,Livsåskådning / Memoarer och biografier,,Lunds universitet
,Yttrandefrihet,"Henrik Huldén, Lena Sundström, Stefan Eklund, Ulla Carlsson, Ulrika Knutson","Global Free Speech vid Göteborgs universitet, Hanaholmen – kulturcentrum för Sverige och Finland samt Stiftelsen Torgny Segerstedts Minne"
Monterprogram,Serier,,Kartago
,Skola,"Jenny Jakobsson Lundin, Lena Vestlin, Tuija Lehtinen",Lärarförlaget
,Samhälle och debatt / Skola,"Fredrik Söderquist, Jack Werner, Kristina Alexanderson",Studentlitteratur
,Samhälle och debatt / Yttrandefrihet,"Herta Müller, Svante Weyler",Rumänska kulturinstitutet
Scenprogram,Livsåskådning,"Antje Jackelén, Stefan Eklund","Se människan, Arcus & Verbum"
Monterprogram,Memoarer och biografier,Katarina Gäddnäs,Litorale
,,"Estela Corbellini, Oscar Nakasato, Ulla Gabrielsson",Embassy of Brazil in Stockholm
Monterprogram,Bibliotek / Memoarer och biografier / Samhälle och debatt,,Länsbiblioteket Västernorrland
Monterprogram,Barn och ungdom / Bibliotek / Samhälle och debatt / Skola / Yttrandefrihet,,8 Sidor - lättlästa nyheter
,Barn och ungdom,"Daniel Gustafsson, Ulf Stark, Zeljka Cernok",Kulturrådet
,Samhälle och debatt,"Lawen Mohtadi, Mia Taikon, Nuri Selim, Thom Lundberg","Kulturrådet, É Romani Glinda, Svarta Safirer, Albert Bonniers förlag och Natur & Kultur"
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Birgitta Ohlsson, Paul Frigyes, Ulf Schyldt",SILC
Monterprogram,Livsåskådning / Samhälle och debatt / Yttrandefrihet,,Karnstedts förlag
Scenprogram,Samhälle och debatt,Stefan Lindberg,Författarcentrum och Sveriges Författarförbund
,Samhälle och debatt,"Andreas Ekström, Ingmar Skoog, Marianne Rundström, Tobias Baudin",Wahlström & Widstrand
,,"Jan Kjærstad, Steve Sem-Sandberg, Åsa Beckman",Bokförlaget Atlantis
Monterprogram,Historia,Christina Wahldén,Norstedts
"Monterprogram, Scenprogram",Historia,Sofia Lodén,Forskartorget/Kungl. Vitterhetsakademien
,Barn och ungdom,"Ada Wester, Christoffer Carlsson, Karl Modig",I samarbete med Gilla Böcker
Monterprogram,,Therese Bohman,Norstedts
Scenprogram,Samhälle och debatt,"Aleksander Gabelic, Caroline Åberg, Eva Dalekant, Jakob Ström",FN-familjen
Monterprogram,,,Bonnier Carlsen
Monterprogram,,,Forum
Monterprogram,Barn och ungdom,"Johan Unenge, Ylva Hällen",Bonnier Carlsen
,Skola,Kennert Orlenius,Högskolan i Borås
Scenprogram,Samhälle och debatt / Yttrandefrihet,Tomas Sköld,Gustaf Fröding-sällskapet
,Populärvetenskap,"Ulf Danielsson, Ulf Ellervik",Fri Tanke förlag
Monterprogram,Historia,Barbro Wallgren Hemlin,Institutionen för svenska språket
Monterprogram,Samhälle och debatt,Lars H Gustafsson,Studieförbundet Vuxenskolan
Monterprogram,Serier,,Kartago
,,"Eva Gedin, Karolina Ramqvist",Norstedts
,Hälsa och livsstil,Bo Hejlskov Elvén,Natur & Kultur
Monterprogram,,Janina Orlov,Schildts & Söderströms
Scenprogram,Livsåskådning / Samhälle och debatt / Yttrandefrihet,"Alf Linderman, Nina Björk","Se människan, Wahlström och Widstrand"
Monterprogram,Samhälle och debatt,"Anna Fredriksson, Anna Öqvist Ragnar",Storytel
,Barn och ungdom,Reza Saleh,"Berättarministeriet, Kulturrådet"
Scenprogram,,Ebba Witt-Brattström,Författarcentrum och Sveriges Författarförbund
,Barn och ungdom / Fantasy och science fiction,"Helena Dahlgren, Jonathan Stroud, Maria Turtschaninoff","Förlaget, Berghs Förlag och B. Wahlströms"
,Barn och ungdom,"Ada Wester, David Wiberg, Sara Ohlsson",I samarbete med Gilla Böcker
Scenprogram,Memoarer och biografier,Johan Ripås,Piratförlaget
"Monterprogram, Scenprogram",Hälsa och livsstil,Lars Nyberg,Forskartorget/Natur & Kultur
Monterprogram,Bibliotek / Hälsa och livsstil / Skola,Monica Langwe,Hemslöjdens förlag
,,Elaine Eksvärd,Bokförlaget Forum
,Samhälle och debatt,Hanne Kjöller,Fri Tanke förlag
Monterprogram,,,Albert Bonniers Förlag
Monterprogram,Deckare,,Wahlström & Widstrand
Scenprogram,Samhälle och debatt / Yttrandefrihet,Anna-Karin Carlstoft Bramell,Vilhelm Moberg-Sällskapet
,Hälsa och livsstil,,MI Migrän info /MIAB förlag
Monterprogram,,"Kristian Blensenius, Monica von Martens",Institutionen för svenska språket
,Barn och ungdom / Samhälle och debatt,"Anne Audhild Solberg, Anne Audhild-Solberg, Katarina Dorbell, Rose Lagercrantz, Rose Lagercrantz",I samarbete med Bokförlaget Opal AB och B. Wahlströms
,Barn och ungdom / Skola,"Niklas Gårdfeldt Leavy, Sofia Berne",Natur & Kultur
Monterprogram,,,Göteborgs universitet
,Skola,Sara Bruun,Lärarnas Riksförbund
Monterprogram,Deckare,,Eksjö
,Barn och ungdom / Skola,"Christina Wahldén, Lotta Olsson, Torbjörn Strömberg, Zandra Thuvesson",Rabén & Sjögren
,,"Horace Engdahl, Sinziana Ravini",Albert Bonniers förlag
Monterprogram,Barn och ungdom,,Lunds universitet
Monterprogram,Serier,,Kartago
,Samhälle och debatt,Johan Blomgren,Lo Söllgårds förlag
,,"Anneli Jordahl, Håkan Bravinger, Therese Bohman",Norstedts
,Hälsa och livsstil,"Anders Hansen, Jonas Mattsson",Bonnier Fakta
Monterprogram,Samhälle och debatt,"Anu Koivunen, Jarmo Lainio","Hanaholmen -kulturcentrum för Sverige och Finland, Kulturfonden för Sverige och Finland, Tankesmedjan Magma"
Scenprogram,Livsåskådning,"Birgitta Westlin, Kristoffer Leandoer","Se människan, Natur och Kultur"
Monterprogram,,"Cilla & Rolf Börjlind, Gunilla Bergström, Göran Everdahl, Helena von Zweigbergk, Karolina Ramqvist",Norstedts
,Populärvetenskap,"Elena Medel, Jonas Ellerström, Maria Sousa, Svetlana Cârstean, Eugène Eugène",EUNIC
,,"Peter Sandström, Stefan Einhorn, Yukiko Duke",Bokförlaget Forum och Schildts & Söderströms
Monterprogram,,"Cilla och Rolf Börjlind, Gunilla Bergström, Göran Everdahl",Norstedts
,Samhälle och debatt,"Lisbeth Gustafsson, Soheila Fors",Libris och Studieförbundet Bilda
,Barn och ungdom,"Ragnhildur Hólmgeirsdóttir, Sanna Tahvanainen, Sigurdur Ólafsson, Åsa Warnquist, Åsa Warnqvist","Nordiska rådet, Kulturrådet"
,Yttrandefrihet,"Anna-Lena Laurén, Stefan Ingvarsson, Suzi Ersahin",Kulturrådet
,Barn och ungdom / Skola,"Camilla Sten, Jenny Jägerfeld, Katarina Genar, Kerstin L Hahn, Mats Strandberg",Bonnier Carlsen och Rabén & Sjögren
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Maria Söderberg, Viktor Martinovitj",Litteraturresan/Belarus
Scenprogram,Samhälle och debatt,Markus Lutteman,Författarcentrum och Sveriges Författarförbund
,Samhälle och debatt,"Björn Wiman, Elisabeth Åsbrink",Natur & Kultur
,,"Cecilia Schwartz, Kristina Sandberg Kempe, Lisa Irenius, Per Wirtén",Norstedts
"Monterprogram, Scenprogram",Hälsa och livsstil,per Aspenberg,Forskartorget/Linköpings universitet
,Barn och ungdom / Samhälle och debatt,"Christina Lindström, Katarina Larson, Torsten Bengtsson",I samarbete med Bokförlaget Opal AB och B. Wahlströms
Scenprogram,Barn och ungdom / Memoarer och biografier / Samhälle och debatt,"Anders Sjöqvist, Jesper Söder",Bokförlaget Forum
Monterprogram,Deckare,,Forum
Monterprogram,Barn och ungdom,"Maria Nilsson Thore, Stina Wirsén",Bonnier Carlsen
Scenprogram,Yttrandefrihet,Tomas Forser,Thomas Thorild Sällskapet
,,Odd Zschiedrich,Svenska Akademien
"Monterprogram, Scenprogram",Samhälle och debatt,Sara Königsson,Forskartorget/Forskning & Framsteg
,Skola,Peter Becker,"Guldäpplet, Stiftelsen DIU och partners"
,Barn och ungdom,"Elin Cullhed, Jenny Milewski, Marie Augustsson, Sandra Beijer",Natur & Kultur
,Deckare,"Anna Jansson, Fredrik T Olsson, Susanna Romanus",Wahlström & Widstrand och Norstedts
Monterprogram,Serier,,Kartago
,Hälsa och livsstil,"Helena von Zweigbergk, Åsa Nilsonne",Natur & Kultur
Monterprogram,,"Ralf Andtbacka, Tatjana Brandt","Förlaget, Schildts & Söderströms"
Scenprogram,Livsåskådning / Samhälle och debatt,"Cristina Grenholm, Ebba Witt-Brattström","Se människan, Norstedts"
Monterprogram,Deckare / Serier,"Anna Öqvist Ragnar, Jenny Rogneby",Storytel
,Barn och ungdom,"Karl Modig, Madeleine Bäck, Ylva Lagercrantz","Natur & Kultur, Lilla Piratförlaget, Kulturrådet"
Scenprogram,Historia,Ulrika Kärnborg,Författarcentrum och Sveriges Författarförbund
,Barn och ungdom / Samhälle och debatt / Skola,"Anne-Marie Körling, Helena Öberg",I samarbete med Mirando bok
Scenprogram,Barn och ungdom / Samhälle och debatt,,Rädda barnen
"Monterprogram, Scenprogram",Bibliotek / Samhälle och debatt,Mattias Lundberg,Forskartorget/Umeå universitet
,Skola,"Elin Bengtsson, Lina Axelsson Kihlblom, Moa-Lina Olbers Croall",Natur & Kultur
,Samhälle och debatt,"Dan Israel, Per Kornhall",Leopard
,Samhälle och debatt,"Abbas Khider, Cecilia Hansson, Irena Brežná, Josef Winkler, Lutz Seiler","Tre länder – ett språk, Goethe-Institut Stockholm, Schweiz ambassad, Österrikes ambassad och Bokförlaget Thorén & Lindskog"
Monterprogram,Serier,Peter Bergting,Semic
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Irene Lindh, Olof Holm",Almqvistsällskapet
,Samhälle och debatt,"Adaria Gusjtyn, Ilja Jasjin, Jon Fridholm, Kalle Kniivilä, Peter Pomerantsev",Östgruppen För Demokrati & Mänskliga Rättigheter och Ordfront förlag
,,,Ordfront förlag
,Barn och ungdom / Deckare / Fantasy och science fiction,"Jonathan Stroud, Maria Orekhova, Sofia Skarica",I samarbete med B. Wahlströms Bokförlag
,Skola,Anna Nord,Lärarnas Riksförbund forum för svenska
Monterprogram,Barn och ungdom,"Helena Willis, Martin Widmark",Eksjö Bokhandel
,Hälsa och livsstil,"Agneta Lagercrantz, Christina Andersson, Jonas Mattsson",Natur & Kultur
,,"Eva Bonnier, Niklas Rådström",Albert Bonniers förlag
Monterprogram,,"Ebba Witt-Brattström, Peter Sandström",Schildts & Söderströms
Scenprogram,Hälsa och livsstil / Livsåskådning / Memoarer och biografier / Samhälle och debatt,"Cristina Grenholm, Kristina Kappelin, Stefan Eklund","Se människan, Brombergs Bokförlag"
,Historia / Samhälle och debatt / Yttrandefrihet,"Ola Larsmo, Rakel Chukri",Albert Bonniers förlag
,Samhälle och debatt / Yttrandefrihet,"Anders Kompass, Britt-Marie Mattsson, KG Hammar, Pierre Schori",Se människan/Svenska kyrkan och Leopard
,Barn och ungdom,"Johanna Lindbäck, Lisa Bjärbo","Bladen brinner, Kulturrådet"
,Bibliotek,"Bodil Rosqvist, Christian Mattsson, Erik Bäckerud, Tomas Riad",Svenska Akademien
,,Jan Guillou,Piratförlaget
Scenprogram,Barn och ungdom / Samhälle och debatt,"Alice Teodorescu, Birgitta Ohlsson, Devin Rexvid, Soleyman Ghasemiani",GAPF
,Historia / Samhälle och debatt,"Göran Greider, Kajsa Ekis Ekman, Nina Björk",Wahlström & Widstrand
Scenprogram,Barn och ungdom / Skola,"Isabella Saaf Olsson, Kajsa Bolme",Författarcentrum och Sveriges Författarförbund
,Skola,Petter Alexis Askergren,Brombergs Bokförlag
Scenprogram,,"David Väyrynen, Helena Fagertun",Författarcentrum och Sveriges Författarförbund
,Barn och ungdom,Eva Fred,I samarbete med Alfabeta bokförlag
"Monterprogram, Scenprogram",Samhälle och debatt,Sodie pilemalm,Forskartorget/Linköpings universitet
Scenprogram,Samhälle och debatt / Yttrandefrihet,"Elisabeth Dyvik, Tutul Tutul",ICORN och Sida
Monterprogram,Barn och ungdom,,Bonnier Carlsen
Monterprogram,Deckare,,Wahlström & Widstrand
Scenprogram,Barn och ungdom / Skola,"Marianne Lundin, Piret Pripp",Sällskapet för Ester Ringnér-Lundgren
Monterprogram,Serier,,Kartago
,Hälsa och livsstil,"Bo Hejlskov Elvén, Lars H Gustafsson, Maria Carling",SvD Idagsidan
Scenprogram,Livsåskådning / Samhälle och debatt,"Henrik Grape, Madeleine Hesse&#769;rus, Madeleine Hesse&#769;rus, Madeleine Hessérus","Se människan, Natur och Kultur"
,Barn och ungdom,"Bongi McDermott, Jenny Jägerfeld, Sara Lövestam","Rabén & Sjögren, Lilla Piratförlaget, Kulturrådet"
Scenprogram,,Ingmar Simonsson,Författarcentrum och Sveriges Författarförbund
,Samhälle och debatt,"Meg Wolitzer, Sara Nyström",I samarbete med Wahlström & Widstrand
Scenprogram,Samhälle och debatt,"Anna-Karin Johansson, Christoffer Hjalmarsson, Ivar Andersen, Jenny Aschenbrenner",Svenska Afghanistankommittén
"Monterprogram, Scenprogram",Historia / Livsåskådning / Samhälle och debatt,"Bo Eriksson, David Sjögren",Forskartorget/Historisk Tidskrift
Scenprogram,,Ann Lingebrandt,Det unga Skåne
Monterprogram,Historia,,Carin Myrberg Agency
,,"Anders Sjöqvist, David Batra",I samarbete med Bokförlaget Forum
Monterprogram,,,Studieförbundet Vuxenskolan
Monterprogram,Serier,,Kartago
Scenprogram,Deckare / Livsåskådning / Samhälle och debatt / Yttrandefrihet,"Anne Holt, Antje Jackelén","Se människan, Piratförlaget"
Monterprogram,Samhälle och debatt,,Stiftelsen Sveriges Sjömanshus
Scenprogram,Samhälle och debatt,"Aleksander Gabelic, Birgitta Ohlsson",Svenska FN-förbundet
"Monterprogram, Scenprogram",Bibliotek / Livsåskådning,"Hans Ruin, Torbjörn Tännsjö",Forskartorget/Filosofiska rummet/SR
Scenprogram,Samhälle och debatt,"Renée Danielsson, Stina Oscarson",Celanders förlag
,,"Karin Linge-Nordh, Maria Ernestam",I samarbete med Bokförlaget Forum
Scenprogram,,Niklas Schiöler,Pär Lagerkvist-sällskapet
Monterprogram,Serier,,Kartago
Scenprogram,Hälsa och livsstil / Livsåskådning / Samhälle och debatt,"Bodil Jönsson, Cristina Grenholm","Se människan, Brombergs Bokförlag"
,Memoarer och biografier,"Nina Björk, Sara Nyström",I samarbete med Wahlström & Widstrand
Scenprogram,Hälsa och livsstil / Memoarer och biografier,Mikael Lindnord,Bokförlaget Forum
Monterprogram,Barn och ungdom / Bibliotek / Historia / Hälsa och livsstil / Memoarer och biografier / Skola,,Sportförlaget i Europa AB
Monterprogram,Barn och ungdom / Bibliotek / Historia / Memoarer och biografier / Samhälle och debatt / Skola / Yttrandefrihet,,Sportförlaget i Europa AB
