Typ,Tema,Deltagare,Arrangor
,Barn och ungdom,"Elin Cullhed, Madeleine Bäck, Marie Augustsson, Mirja Unge",Natur & Kultur
Scenprogram,Yttrandefrihet,Tomas Forser,Thomas Thorild Sällskapet
,Yttrandefrihet,"Anders Rydell, Eva-Maria Svensson, Jesper Strömbäck, Ulla Carlsson","UR, Göteborgs universitet och Riksbankens Jubileumsfond"
,Bibliotek / Livsåskådning / Samhälle och debatt,Lars Sundberg,I samarbete med Existentiella samtal i Östergötland
,Yttrandefrihet,"Katharina Tollin, Sverker Härd",Myndigheten för kulturanalys
,Barn och ungdom / Samhälle och debatt / Skola,Jonas Linderoth,Natur & Kultur
Monterprogram,Skola,Qarin Franker,Institutionen för svenska språket
,Skola,Hülya Basaran,Lärarnas Riksförbund
,Samhälle och debatt,,Linköpings universitet
Monterprogram,Barn och ungdom,"Katarina Gäddnäs, Linda Bondestam, Ulf Stark",Förlaget
Monterprogram,Yttrandefrihet,,TU - Medier i Sverige
